customer_identifier,customer_email,customer_name,term_start,term_end,status,billing_period,billing_interval,amount_per_period,customer_created,tax_inclusive,tax_rate
ffa775ac-5794-43ef-9d97-00afe28b082a,equilliganr@bloglines.com,Egbert Quilligan,25-05-2020,05-12-2020,INELIGIBLE,WEEK,1,600,25-05-2020,yes,10
69c85021-3a35-40d1-adf6-9cd866e91af0,cmollers@squidoo.com,Cassie Moller,21-09-2019,29-12-2019,ACTIVE,DAY,1,100,21-09-2019,no,10
85062f87-a7dc-4e31-90d0-d82146535f71,rcortont@amazonaws.com,Riley Corton,27-03-2021,25-01-2022,DELINQUENT,YEAR,1,20000,27-03-2021,yes,10
0a8826dd-7e10-494f-be12-e271a0385195,lverneu@msu.edu,La verne Aronstam,08-01-2021,07-06-2021,CHURNED,WEEK,2,1200,08-01-2021,yes,10
8c88cf3d-61f0-4eb2-9a94-c7f5e9886f82,ltockv@wikia.com,Luciana Tock,25-11-2019,18-03-2020,INELIGIBLE,DAY,1,100,25-11-2019,no,10
ae54631c-e9f1-4f28-b7ac-8ad3c9dd48f8,flynockw@sfgate.com,Freddi Lynock,24-07-2021,13-05-2022,ACTIVE,MONTH,1,2000,24-07-2021,no,10
33a88190-beb0-4e2d-94fa-867ef6e00ae3,acerithx@posterous.com,Annette Cerith,20-07-2020,03-07-2021,DELINQUENT,MONTH,3,5000,20-07-2020,yes,10
b3028fe0-7537-46c6-bb26-d7dff0dd18f0,plegginy@e-recht24.de,Parsifal Leggin,23-12-2019,20-05-2020,CHURNED,YEAR,1,20000,23-12-2019,yes,10
b294b39e-0690-44db-89c7-c1131f06920d,garlowz@ca.gov,Gaby Arlow,21-09-2019,11-09-2020,INELIGIBLE,WEEK,1,600,21-09-2019,yes,10
546efde7-19f1-47af-a29f-319ed974608c,dfassbender10@macromedia.com,Delmor Fassbender,10-11-2019,25-03-2020,ACTIVE,WEEK,2,1200,10-11-2019,no,10
279b5eb4-1bf8-4cd8-9a71-eca666816861,vnears11@biblegateway.com,Vite Nears,06-05-2021,29-12-2021,DELINQUENT,YEAR,1,20000,06-05-2021,yes,10
50e2733f-2263-42ab-b434-3a47861eb59a,mburdfield12@clickbank.net,Mil Burdfield,06-09-2019,28-11-2019,CHURNED,WEEK,2,1200,06-09-2019,no,10
5d1af60b-55ec-434c-8ae5-2c723d72ec1a,acamilio13@hao123.com,Angel Camilio,02-05-2019,01-08-2019,INELIGIBLE,WEEK,2,1200,02-05-2019,yes,10
b8399069-1741-47f2-8862-cb06fe96b225,zsrawley14@weibo.com,Zonnya Srawley,15-02-2021,15-02-2022,ACTIVE,MONTH,1,2000,15-02-2021,no,10
e9464277-bc2f-431a-8ea3-25a6d9584314,csarvar15@cdc.gov,Colman Sarvar,19-05-2020,04-11-2020,DELINQUENT,DAY,1,100,19-05-2020,no,10
03533b36-6f33-4758-8996-f54c2f2f5d7e,rgwioneth16@virginia.edu,Ravi Gwioneth,14-12-2019,15-09-2020,CHURNED,MONTH,3,5000,14-12-2019,no,10
7bf267ff-2a03-41df-bc47-5cb02af3e933,ffidelli17@reuters.com,Fulton Fidelli,05-04-2019,30-12-2019,INELIGIBLE,DAY,1,100,05-04-2019,no,10
cdc8adf1-4ad3-450f-9470-78f7b1ef28fa,lllopis18@cpanel.net,Lutero Llopis,24-02-2019,28-07-2019,ACTIVE,WEEK,2,1200,24-02-2019,no,10
73d65693-5a54-4138-a6dd-3cdd63ab3b8b,byounie19@spiegel.de,Bobby Younie,19-02-2019,03-12-2019,DELINQUENT,YEAR,1,20000,19-02-2019,yes,10
5eea2371-5431-4aaf-ac82-20ef811626ae,ngouge1a@alibaba.com,Niki Gouge,13-11-2019,06-06-2020,CHURNED,MONTH,1,2000,13-11-2019,no,10
3b63dc9c-023b-4126-8dac-8fbea5b74b3b,mburgh1b@rakuten.co.jp,Marja Burgh,26-11-2021,18-02-2022,INELIGIBLE,MONTH,1,2000,26-11-2021,no,10
b4b50a95-e97e-4c98-85b0-e11392568479,hgerbl1c@thetimes.co.uk,Hillary Gerbl,14-11-2021,27-02-2022,ACTIVE,YEAR,1,20000,14-11-2021,no,10
8a3b9cec-771e-40d1-aad8-4df4a9482e75,clettley1d@jigsy.com,Chaunce Lettley,03-10-2021,17-08-2022,DELINQUENT,MONTH,3,5000,03-10-2021,no,10
b1cca890-188b-480a-a9dc-1ee9f8840584,vyurevich1e@answers.com,Verine Yurevich,07-12-2020,11-03-2021,CHURNED,DAY,1,100,07-12-2020,no,10
d1f9f602-06b6-4036-a5e0-507d43d5cc9e,drummer1f@sohu.com,Dave Rummer,27-10-2020,03-08-2021,INELIGIBLE,WEEK,2,1200,27-10-2020,no,10
e2dd7def-9e50-40b8-b7f7-c214c6bbd55f,ikeedy1g@mtv.com,Ilario Keedy,13-07-2020,15-10-2020,ACTIVE,YEAR,1,20000,13-07-2020,no,10
66dea096-aa7a-4500-8af6-aaed560928dd,geddins1h@ebay.co.uk,Georgia Eddins,10-09-2019,28-11-2019,DELINQUENT,YEAR,1,20000,10-09-2019,yes,10
b9a4338f-6bcc-4485-9039-6bd0c44e1cca,mmazey1i@macromedia.com,Missy Mazey,10-10-2021,07-09-2022,CHURNED,MONTH,1,2000,10-10-2021,no,10
1e1efae3-beaf-41bd-80c8-3e803a6686bf,ngrasner1j@harvard.edu,Natalie Grasner,22-12-2019,05-07-2020,INELIGIBLE,MONTH,1,2000,22-12-2019,no,10
ac46b9d5-ecfc-4c7c-8836-847d7f387f39,tillingworth1k@topsy.com,Torre Illingworth,30-09-2019,10-06-2020,ACTIVE,YEAR,1,20000,30-09-2019,no,10
c8f1be85-2637-41b0-b93c-4f076318d4b5,rthalmann1l@wix.com,Rita Thalmann,25-11-2020,24-01-2021,DELINQUENT,WEEK,2,1200,25-11-2020,no,10
87be0926-aaa8-4ce8-a9a7-e1641a34eb1a,gsillis1m@prlog.org,Gretchen Sillis,03-06-2020,30-03-2021,CHURNED,WEEK,1,600,03-06-2020,no,10
070b61db-0c13-47e6-be30-accab077f0aa,ajeannet1n@github.io,Abel Jeannet,22-01-2020,18-06-2020,INELIGIBLE,YEAR,1,20000,22-01-2020,no,10
29b4ea33-68f7-4127-ae31-9223b0b46942,josharry1o@nymag.com,Jan O'Sharry,02-06-2021,10-02-2022,ACTIVE,YEAR,1,20000,02-06-2021,yes,10
03f3a99c-f52a-44a9-b8fb-5a2e449c194c,packlands1p@upenn.edu,Peyter Acklands,22-03-2020,26-05-2020,DELINQUENT,WEEK,1,600,22-03-2020,yes,10
d2e9dade-5fdb-4a5a-b538-9e9820a422dd,bjacobovitch1q@mozilla.org,Boony Jacobovitch,09-01-2020,11-10-2020,CHURNED,YEAR,1,20000,09-01-2020,yes,10
2eaa166d-c71c-40fa-8432-408dbf9d823f,mforce1r@soup.io,Marchall Force,19-07-2021,17-07-2022,INELIGIBLE,DAY,1,100,19-07-2021,yes,10
c4908e42-e7f1-45ab-8a0a-a774f97ad1a7,hdearth1s@gmpg.org,Hanan Dearth,07-11-2021,08-02-2022,ACTIVE,MONTH,1,2000,07-11-2021,no,10
375eca2f-224b-4098-8770-5f2adbbaf7d1,gstow1t@spotify.com,Gerladina Stow,13-03-2019,18-12-2019,DELINQUENT,MONTH,3,5000,13-03-2019,no,10
edfc03db-756f-4b26-ae4a-7ca26565390e,bgreenaway1u@tumblr.com,Belva Greenaway,02-04-2020,07-07-2020,CHURNED,YEAR,1,20000,02-04-2020,yes,10
c4494815-ba5d-4c2c-bb15-cc6f5164c317,acastaneda1v@wikipedia.org,Ameline Castaneda,30-05-2019,20-02-2020,INELIGIBLE,DAY,1,100,30-05-2019,no,10
8c56496e-aaf9-4155-ab90-16cbc15cedcc,ccromett1w@istockphoto.com,Catherin Cromett,22-11-2021,11-03-2022,ACTIVE,WEEK,1,600,22-11-2021,yes,10
8913e906-88be-4a0d-95a8-ed383f0aebb9,aivery1x@qq.com,Alverta Ivery,04-05-2019,21-08-2019,DELINQUENT,MONTH,1,2000,04-05-2019,no,10
55466c54-ff37-4255-bd02-628a619e6f34,spollett1y@so-net.ne.jp,Sarena Pollett,22-07-2020,15-03-2021,CHURNED,WEEK,2,1200,22-07-2020,no,10
8aca03c2-4d08-4604-8347-4c0c52014afd,tlightbourn1z@reverbnation.com,Terra Lightbourn,15-04-2020,13-09-2020,INELIGIBLE,DAY,1,100,15-04-2020,yes,10
c873194a-5efd-4347-a4ee-f478976a662b,scunnah20@google.co.uk,Sari Cunnah,23-06-2020,31-01-2021,ACTIVE,WEEK,1,600,23-06-2020,no,10
cc08d6cf-669d-4aed-95e8-ac9c6e03966b,gweich21@privacy.gov.au,Gilberta Weich,05-03-2021,13-11-2021,DELINQUENT,YEAR,1,20000,05-03-2021,yes,10
1fc0864d-3e81-48c6-b63a-e555446d5c3f,kbackshill22@wisc.edu,Kordula Backshill,23-02-2020,17-05-2020,CHURNED,DAY,1,100,23-02-2020,no,10
b14c357a-2b4d-4074-8faf-2d197f894293,klacy23@berkeley.edu,Karalynn Lacy,17-08-2021,04-05-2022,INELIGIBLE,YEAR,1,20000,17-08-2021,no,10
38bed4a5-5ade-43a7-a656-a16d3ca1dbcd,pinsko24@cornell.edu,Priscella Insko,30-10-2021,26-03-2022,ACTIVE,MONTH,1,2000,30-10-2021,no,10
372061ae-cd4b-4c07-978e-8d22032f64b1,adome25@miitbeian.gov.cn,Ainslie Dome,05-07-2020,27-03-2021,DELINQUENT,WEEK,2,1200,05-07-2020,yes,10
d43e615c-da6c-4b04-85d9-96160389e146,eeastwell26@apple.com,Evelin Eastwell,10-03-2021,11-02-2022,CHURNED,YEAR,1,20000,10-03-2021,no,10
ddd32b12-b2d6-4fbf-a426-a89a79119e8b,wbather27@privacy.gov.au,Wat Bather,20-08-2020,17-12-2020,INELIGIBLE,YEAR,1,20000,20-08-2020,yes,10
81f455ef-abf5-4f46-9b8f-ae9049a8b303,lflattman28@spiegel.de,Lyda Flattman,22-08-2021,17-01-2022,ACTIVE,YEAR,1,20000,22-08-2021,no,10
fb729663-96a5-4922-bf06-108c16d2d405,kmacleese29@spiegel.de,Kurtis MacLeese,18-01-2020,30-09-2020,DELINQUENT,MONTH,1,2000,18-01-2020,no,10
c54f1d7e-1a86-4aff-9812-c80b04682fb1,ktruesdale2a@etsy.com,Kasey Truesdale,28-09-2019,15-06-2020,CHURNED,DAY,1,100,28-09-2019,yes,10
2c5b8f73-191f-42a7-8b44-7d297ee873de,sgrishanov2b@yahoo.co.jp,Shayla Grishanov,06-06-2020,25-01-2021,INELIGIBLE,YEAR,1,20000,06-06-2020,no,10
302fab09-0c94-4d1b-9064-744db2d99f22,breaman2c@weibo.com,Bertrand Reaman,20-05-2021,22-04-2022,ACTIVE,YEAR,1,20000,20-05-2021,no,10
ab69df58-098f-480e-8759-a25e39ef35a9,aattfield2d@pbs.org,Adolf Attfield,11-10-2019,08-09-2020,DELINQUENT,MONTH,1,2000,11-10-2019,yes,10
c7c5eb96-4e30-4919-bd09-77dfa983c745,ndainton2e@ezinearticles.com,Niko Dainton,14-02-2021,20-09-2021,CHURNED,YEAR,1,20000,14-02-2021,yes,10
21f6dec6-c5b2-41cd-a51c-72c49e0f19de,qdizlie2f@addthis.com,Quinton Dizlie,27-08-2019,15-12-2019,INELIGIBLE,YEAR,1,20000,27-08-2019,yes,10
3bec74a0-55d4-44b4-bf04-eddc994948a0,rgeorgiades2g@cisco.com,Rey Georgiades,26-07-2019,20-01-2020,ACTIVE,YEAR,1,20000,26-07-2019,yes,10
8fc5eaa2-ce73-428d-a90c-25d52522fad4,taimson2h@vk.com,Tybalt Aimson,07-08-2020,08-01-2021,DELINQUENT,YEAR,1,20000,07-08-2020,yes,10
f9eff60f-9b46-4ca2-9c8a-3a3712d94145,myarrell2i@marketwatch.com,Meg Yarrell,28-09-2019,13-03-2020,CHURNED,DAY,1,100,28-09-2019,yes,10
7ac828d4-dd3b-41dc-9e85-13da9a80ecdf,dbrooker2j@cnn.com,Donny Brooker,05-08-2021,30-10-2021,INELIGIBLE,WEEK,1,600,05-08-2021,yes,10
559ff06d-8abb-4a4a-819b-3ae82f9e8ef5,pomeara2k@de.vu,Patrizio O'Meara,18-04-2019,05-10-2019,ACTIVE,WEEK,1,600,18-04-2019,no,10
7d68cd0b-e5b3-4d7f-80db-f7d6c8972707,acavendish2l@clickbank.net,Ardath Cavendish,18-05-2020,12-08-2020,DELINQUENT,MONTH,1,2000,18-05-2020,yes,10
3ed9c54d-0989-4ac3-ae10-010566b5cef6,ocoleford2m@jiathis.com,Olin Coleford,13-01-2019,18-09-2019,CHURNED,DAY,1,100,13-01-2019,yes,10
866f13d0-9e68-4aa0-9ca9-f525e2ce5579,hclawson2n@walmart.com,Hilary Clawson,25-11-2019,06-09-2020,INELIGIBLE,WEEK,2,1200,25-11-2019,yes,10
909bc50c-abfd-43ba-849f-9ab3139e808c,mmatzaitis2o@jimdo.com,Marlin Matzaitis,02-02-2020,16-04-2020,ACTIVE,YEAR,1,20000,02-02-2020,no,10
d6ca947e-f9fc-4279-a889-ee57a4ab2c35,sskurm2p@abc.net.au,Stefano Skurm,05-10-2021,21-02-2022,DELINQUENT,WEEK,2,1200,05-10-2021,no,10
16e342de-bca3-4205-86f8-a6e0317d0a7f,sshenfish2q@reverbnation.com,Sallyann Shenfish,15-02-2021,03-09-2021,CHURNED,WEEK,2,1200,15-02-2021,no,10
ac05da4a-437b-4065-b80f-19ded4a903bb,nstutard2r@youtube.com,Natalya Stutard,30-03-2020,04-07-2020,INELIGIBLE,DAY,1,100,30-03-2020,yes,10
babb5618-a954-4fae-a663-347679b47323,dtonepohl0@amazon.co.jp,Dionysus Tonepohl,07-10-2019,25-01-2020,ACTIVE,MONTH,1,2000,07-10-2019,yes,10
bb8bbb2b-99f5-44f7-beb4-84712cd31b09,fbodill1@tripod.com,Franni Bodill,05-12-2020,07-11-2021,DELINQUENT,DAY,1,100,05-12-2020,yes,10
6c9c97e8-c70a-4854-802a-fcfb12e48c0a,gmcevilly2@dagondesign.com,George McEvilly,22-07-2020,26-03-2021,CHURNED,WEEK,2,1200,22-07-2020,yes,10
1310f5d6-e911-428d-b175-7c387e5f34e1,bkirkpatrick3@nba.com,Bryn Kirkpatrick,15-03-2019,23-09-2019,INELIGIBLE,YEAR,1,20000,15-03-2019,yes,10
c9cb52d7-e11b-472d-ae61-bb6f09bdfb0b,haylin4@opera.com,Harland Aylin,04-09-2019,15-12-2019,ACTIVE,DAY,1,100,04-09-2019,yes,10
358fa1a8-c3ee-4267-a9dc-d970df6be6ac,imconie5@nationalgeographic.com,Ives McOnie,22-02-2021,27-11-2021,DELINQUENT,YEAR,1,20000,22-02-2021,yes,10
387f025b-d47d-443c-b85c-ec83233d7c50,dmattes6@umich.edu,Darin Mattes,25-11-2021,24-02-2022,CHURNED,MONTH,1,2000,25-11-2021,yes,10
26b7df70-376e-4258-a0e1-0a5998281670,sarundel7@census.gov,Stewart Arundel,21-07-2020,20-04-2021,INELIGIBLE,WEEK,2,1200,21-07-2020,yes,10
5d163569-43a3-42d2-8d9d-147ed7ab01b5,nmcnabb8@va.gov,Nathalia McNabb,24-08-2019,27-10-2019,ACTIVE,MONTH,1,2000,24-08-2019,yes,10
73096df9-d80f-4a23-b5c0-63ab888ce09e,ijanacek9@google.it,Ingeborg Janacek,15-02-2020,11-02-2021,DELINQUENT,MONTH,6,10000,15-02-2020,yes,10
150f7d3c-f7f7-47c9-b105-d119a8091373,nfranksa@nps.gov,Nicko Franks,24-09-2019,17-12-2019,CHURNED,WEEK,1,600,24-09-2019,yes,10
4edf5627-e986-443f-ad10-bdf93531ea96,egroveb@usnews.com,Eartha Grove,20-03-2021,15-06-2021,INELIGIBLE,DAY,1,100,20-03-2021,yes,10
6fbe0438-dec0-4b70-959f-60dc89d05aca,srubroec@stanford.edu,Sarajane Rubroe,03-05-2021,25-02-2022,ACTIVE,DAY,1,100,03-05-2021,yes,10
27fc31d3-412e-4499-9bc9-85f8abff6e12,pruoffd@oracle.com,Peg Ruoff,25-05-2020,22-01-2021,DELINQUENT,MONTH,1,2000,25-05-2020,yes,10
c796a134-b65c-4cf2-8962-7bce41e8a474,swheale@naver.com,Sybyl Wheal,02-02-2021,24-11-2021,CHURNED,YEAR,1,20000,02-02-2021,yes,10
1ca0b2fc-6d8d-4525-b00b-a49295fd8b3d,gdimondf@wix.com,Guillemette Dimond,23-03-2020,16-03-2021,INELIGIBLE,DAY,1,100,23-03-2020,yes,10
c3ca0f16-edf8-4598-afc1-141131482f14,gmacalping@facebook.com,Gaspard MacAlpin,12-12-2020,19-05-2021,ACTIVE,DAY,1,100,12-12-2020,yes,10
adccf24f-dee5-4bdb-95b0-8335898d7c04,lbruckentalh@cloudflare.com,Leicester Bruckental,21-11-2019,22-10-2020,DELINQUENT,MONTH,1,2000,21-11-2019,yes,10
a036fb5f-ac8e-4815-b041-83ef3dfd5cc0,rpotapczuki@umn.edu,Roddy Potapczuk,28-10-2020,13-02-2021,CHURNED,DAY,1,100,28-10-2020,yes,10
b480fb99-7102-4e7f-8231-f4d46c584ca6,jfieldingj@webnode.com,Jozef Fielding,30-01-2020,01-08-2020,INELIGIBLE,MONTH,6,10000,30-01-2020,yes,10
e49d8613-5199-4bab-bef7-c8929220cac6,jserlek@patch.com,Janeta Serle,25-07-2019,24-11-2019,ACTIVE,WEEK,2,1200,25-07-2019,yes,10
e79c95e7-ad41-46cb-8de0-52328c1db47b,asplainl@harvard.edu,Alric Splain,11-11-2021,20-04-2022,DELINQUENT,MONTH,1,2000,11-11-2021,yes,10
935e49d4-4566-4d47-a03e-e5314b61290b,falleburtonm@timesonline.co.uk,Fremont Alleburton,30-03-2021,18-11-2021,CHURNED,WEEK,1,600,30-03-2021,yes,10
aaadb48d-050b-494a-a19a-f70445fc04d6,cridpathn@icio.us,Christian Ridpath,27-06-2020,14-12-2020,INELIGIBLE,MONTH,1,2000,27-06-2020,yes,10
23788c88-e068-4222-b7ad-9d5de7d7e696,cberrieo@ocn.ne.jp,Candida Berrie,08-09-2020,16-03-2021,ACTIVE,DAY,1,100,08-09-2020,yes,10
6c90e4d3-1451-4214-b5e5-cf4c742b15a6,edunbobbinp@unblog.fr,Elfie Dunbobbin,23-10-2019,23-08-2020,DELINQUENT,YEAR,1,20000,23-10-2019,yes,10
b1b5c4d8-6c01-4ed1-a7f2-b92b3becd810,kstonuaryq@addthis.com,Kelwin Stonuary,17-07-2019,07-12-2019,CHURNED,YEAR,1,20000,17-07-2019,yes,10
df4e9f18-345b-4255-a822-e17521380b67,hcarrierr@a8.net,Hunfredo Carrier,11-05-2019,12-08-2019,INELIGIBLE,YEAR,1,20000,11-05-2019,yes,10
0658eb96-af57-41ef-ae15-3ea877c0d787,lbreakspears@cargocollective.com,Land Breakspear,24-11-2021,03-09-2022,ACTIVE,WEEK,2,1200,24-11-2021,yes,10
7f8d35f6-b246-498d-be94-7746d186807e,kjakolevitcht@t.co,Korie Jakolevitch,01-04-2020,26-01-2021,DELINQUENT,DAY,1,100,01-04-2020,yes,10
74280ada-24c1-4232-b664-2ec08196e4f0,gdeu@adobe.com,Gwen De Luna,20-09-2021,23-12-2021,CHURNED,YEAR,1,20000,20-09-2021,yes,10
04aa91e7-2c97-4bd9-bdaa-c61d511fc667,bschabenv@dyndns.org,Boigie Schaben,29-07-2019,10-12-2019,INELIGIBLE,YEAR,1,20000,29-07-2019,yes,10
cac45cb4-4ecf-4a58-be3f-c793527390c8,agoodinsonw@usatoday.com,Alisa Goodinson,24-03-2020,06-07-2020,ACTIVE,DAY,1,100,24-03-2020,yes,10
54ff6cc2-8312-42fc-9434-6aab1bbf9e38,donslowx@whitehouse.gov,Dix Onslow,01-03-2020,15-12-2020,DELINQUENT,MONTH,3,5000,01-03-2020,yes,10
9e345e37-45c8-4a56-b9e7-4041a98f2f29,fgotecliffey@woothemes.com,Fianna Gotecliffe,08-09-2021,16-11-2021,CHURNED,MONTH,6,10000,08-09-2021,yes,10
e2fe0d83-1262-4ad9-8a57-6cdcda710ff8,jneavesz@canalblog.com,Johannes Neaves,31-08-2021,07-06-2022,INELIGIBLE,WEEK,2,1200,31-08-2021,yes,10
99131110-7623-48f2-ae71-729dcef1633e,cmc10@macromedia.com,Clementia Mc Dermid,09-02-2019,13-01-2020,ACTIVE,DAY,1,100,09-02-2019,yes,10
d4e11352-92ad-4c77-b4d8-78af75748a08,dzellner11@utexas.edu,Dorice Zellner,22-04-2020,31-03-2021,DELINQUENT,DAY,1,100,22-04-2020,yes,10
389b9d2b-7e89-467d-b619-359accf9c12c,rde12@utexas.edu,Rollins de Mendoza,08-05-2021,19-11-2021,CHURNED,DAY,1,100,08-05-2021,yes,10
ca3d1ef6-d9fb-445a-ac82-113bca6e1573,aleele13@howstuffworks.com,Anatol Leele,26-07-2021,05-04-2022,INELIGIBLE,YEAR,1,20000,26-07-2021,yes,10
3c1e1bf5-cd33-4c97-9909-eb8dfea509fb,lperel14@army.mil,Linnie Perel,02-03-2020,14-01-2021,ACTIVE,YEAR,1,20000,02-03-2020,yes,10
615ea88c-5a62-406e-a7a4-9bcb4b066bac,ebootyman15@posterous.com,Emmeline Bootyman,07-09-2020,21-06-2021,DELINQUENT,DAY,1,100,07-09-2020,yes,10
f3424560-2fb3-4924-aa6c-05d8f69f3ccc,cwickie16@sbwire.com,Candide Wickie,22-10-2020,06-09-2021,CHURNED,WEEK,2,1200,22-10-2020,yes,10
56fac703-2218-4539-b529-e2a0958ef60e,ffreed17@instagram.com,Franz Freed,10-02-2021,19-11-2021,INELIGIBLE,YEAR,1,20000,10-02-2021,yes,10
ff9fe60e-4388-4b14-9811-e70f1827f938,aboat18@wikimedia.org,Avigdor Boat,09-05-2019,22-02-2020,ACTIVE,WEEK,1,600,09-05-2019,yes,10
75bc5738-817c-4f27-90ce-10515de881bf,lsaterweyte19@drupal.org,Leif Saterweyte,03-03-2020,01-10-2020,DELINQUENT,YEAR,1,20000,03-03-2020,yes,10
4d97d2bc-2a5a-4b45-99eb-8c7b256c466b,mjacobbe1a@miibeian.gov.cn,Mary Jacobbe,04-08-2021,29-12-2021,CHURNED,MONTH,1,2000,04-08-2021,yes,10
043850f0-218a-4ad7-8fa9-5b3183bff845,jsolley1b@archive.org,Joe Solley,23-02-2021,17-05-2021,INELIGIBLE,YEAR,1,20000,23-02-2021,yes,10
0ec2c93b-7fc9-4ac6-a36e-c6913641d5f0,pbattill1c@umich.edu,Pansy Battill,29-09-2021,20-07-2022,ACTIVE,MONTH,1,2000,29-09-2021,yes,10
3190f002-b10e-45a6-ba57-593a360836c1,dfeldhammer1d@google.co.jp,Dorette Feldhammer,18-07-2021,07-05-2022,DELINQUENT,WEEK,2,1200,18-07-2021,yes,10
